goos: darwin
goarch: arm64
pkg: gocurrencylearning/kvstore
cpu: Apple M1
BenchmarkBroadcastFanout/watchers=1-8          	46938408	        26.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkBroadcastFanout/watchers=1-8          	46496685	        25.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkBroadcastFanout/watchers=1-8          	47284816	        25.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkBroadcastFanout/watchers=1-8          	47059284	        27.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkBroadcastFanout/watchers=1-8          	46246561	        26.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkBroadcastFanout/watchers=1-8          	43538796	        25.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5066146	       238.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 4642669	       259.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5308204	       223.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5222565	       231.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5421885	       239.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5015559	       247.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5143160	       257.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5002401	       232.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5326022	       227.2 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=10-8         	 5264073	       227.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  694393	      2101 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  571650	      2005 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  708692	      1626 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  643830	      1968 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  737205	      1615 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  645626	      1929 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  685916	      1673 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  604204	      2092 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  741601	      1653 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=100-8        	  649672	      1952 ns/op	     896 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   69241	     17096 ns/op	    8193 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   63524	     19088 ns/op	    8194 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   65172	     21586 ns/op	    8193 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   58305	     20580 ns/op	    8194 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   62416	     18890 ns/op	    8193 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   64920	     20399 ns/op	    8193 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   59590	     18138 ns/op	    8193 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   64435	     18381 ns/op	    8193 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   61857	     19545 ns/op	    8193 B/op	       1 allocs/op
BenchmarkBroadcastFanout/watchers=1000-8       	   63704	     19509 ns/op	    8193 B/op	       1 allocs/op
PASS
ok  	gocurrencylearning/kvstore	182.264s
